"旅行種類 コード","旅行種類","時間軸（年次、四半期）","居住地","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","平均泊数【泊／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","平均泊数【泊／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","平均泊数【泊／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","平均泊数【泊／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】","旅行経験率【％】","旅行平均回数【回／人】","旅行単価【円／人回】"
"100","国内旅行","2016年10～12月期","九州","26.84","0.4410","45,360","2.10","19.99","0.2611","47,003","1.47","9.06","0.1274","41,678","2.84","2.58","0.0525","46,121","3.44","18.56","0.4430","12,700","14.64","0.3070","12,644","4.17","0.0934","11,204","1.96","0.0425","16,392"
"100","国内旅行","2016年10～12月期","沖縄","22.60","0.3680","56,998","2.61","15.71","0.1773","78,847","1.98","4.72","0.0562","51,677","6.43","5.92","0.1345","30,413","1.86","4.82","0.0907","12,460","3.86","0.0637","9,750","0.60","0.0060","3,656","1.40","0.0209","23,247"
"100","国内旅行","2016年7～9月期","全国","40.10","0.7533","51,076","2.43","30.64","0.4455","55,672","1.75","14.72","0.2178","38,637","3.70","3.85","0.0901","58,424","2.68","27.15","0.6834","14,703","21.92","0.4542","14,999","6.64","0.1124","16,003","3.23","0.1167","12,299"
"100","国内旅行","2016年7～9月期","北海道","37.04","0.7436","42,728","2.23","26.17","0.3825","47,908","1.63","15.50","0.2271","33,051","3.21","5.17","0.1339","44,347","2.31","25.74","0.6415","13,594","19.47","0.4790","13,207","8.69","0.1215","9,985","1.92","0.0409","28,839"
"100","国内旅行","2016年7～9月期","東北","30.59","0.5633","42,127","1.94","23.41","0.3279","48,043","1.67","11.30","0.1701","31,404","2.22","3.37","0.0652","40,354","2.59","27.15","0.7806","13,720","21.68","0.4684","12,399","6.55","0.1224","15,226","3.75","0.1898","16,008"
"100","国内旅行","2016年7～9月期","関東","46.63","0.8767","53,121","2.51","34.86","0.5061","59,387","1.91","18.62","0.2775","42,019","3.73","4.26","0.0931","52,150","2.14","27.81","0.6991","15,430","22.53","0.4760","16,079","6.83","0.1165","16,691","3.40","0.1066","11,150"
"100","国内旅行","2016年7～9月期","北陸信越","37.45","0.6510","41,626","1.93","28.55","0.3716","48,664","1.50","11.83","0.1851","23,291","2.79","3.28","0.0942","49,895","1.92","26.87","0.5540","13,072","19.75","0.3578","12,861","7.44","0.1088","16,899","3.54","0.0874","9,172"
"100","国内旅行","2016年7～9月期","中部","38.14","0.7201","53,493","2.24","32.86","0.5017","56,152","1.47","10.45","0.1673","32,306","3.85","2.05","0.0510","96,826","4.48","30.70","0.7949","15,583","25.59","0.5964","15,290","7.19","0.1293","19,094","3.03","0.0691","11,531"
"100","国内旅行","2016年7～9月期","近畿","42.60","0.8236","51,421","2.37","33.11","0.5046","54,607","1.72","14.89","0.1946","38,430","3.51","4.02","0.1245","58,818","3.26","27.94","0.7487","14,104","22.17","0.4516","14,758","6.67","0.1051","15,292","3.89","0.1921","11,915"
"100","国内旅行","2016年7～9月期","中国","35.10","0.6504","49,643","2.61","25.29","0.3628","53,784","1.64","14.88","0.1999","41,590","4.73","4.41","0.0876","50,869","1.80","32.79","0.7207","16,117","26.92","0.4580","15,521","6.80","0.1205","16,849","4.62","0.1422","17,416"
"100","国内旅行","2016年7～9月期","四国","29.71","0.6094","51,946","3.34","20.92","0.2713","57,313","2.34","11.64","0.2335","32,065","5.01","4.42","0.1046","82,394","2.21","24.07","0.5726","15,202","20.91","0.4221","16,194","4.76","0.0712","12,660","2.28","0.0792","12,203"
"100","国内旅行","2016年7～9月期","九州","33.26","0.5941","51,354","2.63","25.39","0.3506","50,827","1.69","11.39","0.1785","44,014","4.02","3.75","0.0650","74,360","3.93","20.03","0.4791","12,252","16.48","0.2864","13,531","5.16","0.0995","12,960","1.65","0.0931","7,561"
"100","国内旅行","2016年7～9月期","沖縄","24.90","0.4027","68,840","3.12","14.89","0.1919","78,112","2.15","9.73","0.1076","53,027","6.70","5.67","0.1032","68,076","1.17","7.11","0.1339","11,048","5.86","0.1138","11,083","1.03","0.0149","13,604","0.53","0.0053","3,040"
"100","国内旅行","2016年4～6月期","全国","31.76","0.6211","49,730","2.03","22.52","0.3190","53,745","1.56","11.10","0.1759","36,747","2.75","4.11","0.1263","57,669","2.22","26.75","0.6806","16,177","22.61","0.4623","15,799","5.62","0.0962","19,509","3.31","0.1221","14,983"
"100","国内旅行","2016年4～6月期","北海道","37.32","0.7185","43,355","1.91","25.31","0.3521","51,184","1.68","14.55","0.2106","39,359","2.02","5.97","0.1558","31,061","2.26","21.46","0.5144","11,848","16.99","0.3269","13,913","6.20","0.1035","10,072","2.91","0.0840","5,995"
"100","国内旅行","2016年4～6月期","東北","31.45","0.5530","44,278","1.79","23.03","0.3246","51,179","1.59","11.18","0.1732","29,225","2.04","3.44","0.0551","50,944","2.15","26.56","0.6947","12,165","22.99","0.4527","13,356","4.17","0.0619","20,776","3.68","0.1801","6,213"
